
===== Qwen2.5: top 20 by dHM (HM last3 - step0) =====
    dHM    dAvg    hm0    hm3    std ecorr   dgsm  reward   kl_f rl_min  run
  0.055   0.024  0.415  0.470  0.002 0.513  0.004   35.81   0.08   50.2  Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.001
  0.054   0.024  0.416  0.470  0.006 0.474 -0.043   33.75   0.06   43.4  Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp0_ec0.001
  0.053   0.020  0.416  0.469  0.002 0.474 -0.009   35.91   0.09   39.6  Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp5_ec0.0_p
  0.053   0.021  0.417  0.469  0.003 0.526 -0.032   35.81   0.09   40.6  Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.001
  0.052   0.021  0.415  0.467  0.003 0.551  0.006   37.30   0.10   46.3  Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.0_p
  0.050   0.022  0.418  0.468  0.005 0.564 -0.099   35.77   0.09   44.6  Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp5_ec0.0_p
  0.049   0.021  0.416  0.465  0.005 0.615 -0.009   32.80   0.08   43.9  Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp5_ec0.001
  0.048   0.020  0.415  0.464  0.003 0.526 -0.032   35.95   0.10   42.0  Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.001
  0.048   0.022  0.421  0.469  0.001   0.5 -0.008   36.13   0.09   48.8  Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.001
  0.048   0.016  0.416  0.463  0.006 0.487 -0.090   39.68   0.16   40.5  Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.001
  0.048   0.019  0.417  0.465  0.003 0.449 -0.015   36.20   0.11   33.8  Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.0_p
  0.047   0.019  0.416  0.463  0.002   0.5 -0.032   32.99   0.10   38.5  Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.0_p
  0.047   0.022  0.416  0.462  0.001 0.551 -0.103   38.85   0.15   42.0  Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.0_p
  0.045   0.017  0.416  0.462  0.001 0.526  0.001   35.91   0.10   35.6  Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.001
  0.045   0.015  0.417  0.463  0.005 0.474 -0.113   39.70   0.13   39.3  Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.001
  0.042   0.013  0.417  0.458  0.006 0.526 -0.116   38.59   0.16   37.9  Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.001
  0.041   0.012  0.418  0.460  0.005 0.462 -0.388   30.87   1.13   34.6  Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.001
  0.041   0.018  0.419  0.460  0.006 0.538 -0.094   34.63   0.07   44.5  Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.001
