
===== Qwen2.5: top 12 by d_cavg = arithmetic-mean accuracy CONDITIONAL on correct format =====
  d_cavg   d_hm  d_cavg d_cndac  d_fmtp  fmt%  rsn%   dgsm   kl_f rl_min  run
   0.097  0.030   0.097   0.093   0.000   0.0 100.0 -0.172  0.221   39.1  Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.0
   0.081  0.039   0.081   0.079   0.017   9.4  90.6 -0.034  0.084   40.5  Phase-stability-Pm1swp_rma_kl0.01_lr5e-7_fp5_ec0.0
   0.070  0.027   0.070   0.068   0.000   0.0 100.0 -0.058  0.280   42.1  Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.0
   0.047  0.053   0.047   0.046   0.017  15.3  84.7 -0.009  0.093   39.6  Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp5_ec0.0
   0.047  0.006   0.047   0.044  -0.013 -16.2 116.2 -0.130  0.315   40.2  Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp5_ec0.0
   0.046  0.024   0.046   0.043   0.025  21.3  78.7 -0.057  0.192   43.9  Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.0
   0.046 -0.016   0.046   0.042   0.008   8.7  91.3 -0.496  2.287   37.0  Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.0
   0.046 -0.095   0.046   0.033  -0.208 127.1 -27.1 -0.596  0.526   40.9  Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp5_ec0.0
   0.044  0.008   0.044   0.042  -0.013 -20.3 120.3 -0.205  0.327   39.9  Phase-stability-Pm1swp_rmf_kl0.05_lr1e-6_fp0_ec0.0
   0.043 -0.072   0.043   0.039  -0.054 -312.0 412.0 -0.129  0.367   46.2  Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.0
   0.042  0.003   0.042   0.048  -0.025 -38.6 138.6 -0.190  0.306   42.2  Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.0
   0.042 -0.296   0.042   0.092  -0.517 116.5 -16.5 -0.576  0.712   40.7  Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.0

===== Qwen3: top 12 by d_cavg = arithmetic-mean accuracy CONDITIONAL on correct format =====
  d_cavg   d_hm  d_cavg d_cndac  d_fmtp  fmt%  rsn%   dgsm   kl_f rl_min  run
   0.118 -0.008   0.118   0.014   0.029  59.7  40.3 -0.002  0.002  433.3  Phase-stability-Pm1w2qwen3_rma_kl0.05_lr5e-7_fp5_e
   0.102 -0.043   0.102   0.017  -0.033 304.8 -204.8 -0.050  0.003  436.6  Phase-stability-Pm1w2qwen3_rma_kl0.05_lr5e-7_fp5_e
   0.068 -0.099   0.068   0.027  -0.029     -     - -0.080  0.016  447.0  Phase-stability-Pm1w2qwen3_rma_kl0.05_lr1e-6_fp5_e
   0.058  0.010   0.058   0.047  -0.029 -60.5 160.5  0.012  0.003  567.2  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp5_e
   0.055 -0.006   0.055   0.004   0.058  92.5   7.5 -0.015  0.003  432.1  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp0_e
   0.052 -0.015   0.052   0.021  -0.021     -     -  0.006  0.002  432.4  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp0_e
   0.050 -0.006   0.050   0.061  -0.013 -19.8 119.8 -0.007  0.002  433.3  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp5_e
   0.049 -0.092   0.049   0.067  -0.017 -31.4 131.4 -0.026  0.003  441.5  Phase-stability-Pm1w2qwen3_rmf_kl0.05_lr5e-7_fp0_e
   0.048  0.018   0.048  -0.010   0.025 309.1 -209.1  0.018  0.002  592.9  Phase-stability-Pm1w2qwen3_rma_kl0.05_lr5e-7_fp5_e
   0.045 -0.009   0.045   0.041  -0.013 -37.5 137.5  0.003  0.002  427.4  Phase-stability-Pm1w2qwen3_rma_kl0.05_lr5e-7_fp0_e
