exp_id,run,log,model,reward,power_k,ll_min,lr,kl,ec,fp,baseline,rm_mode,n_iters,first_step,last_step,n_tom,hm_step0,hm_last3,hm_last5,hm_best,d_hm,hm_late_std,avg_step0,avg_last3,d_avg,gsm8k_step0,gsm8k_last3,d_gsm8k,mmlu_step0,mmlu_last3,d_mmlu,eval_parseable,eval_correct,eval_correct_step0,kl_final,kl_max,resp_len_final,resp_len_min,reward_final
Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp0_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.0,0.0,False,frozen,20,0,190,24,0.4167,0.2461,0.2714,0.458,-0.1706,0.029,0.5036,0.3503,-0.1533,0.663,0.351,-0.312,0.473,0.5177,0.0447,0.423,0.423,0.385,0.489,0.727,124.2,41.4,-4.752
Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp0_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.001,0.0,False,frozen,20,0,190,24,0.417,0.1845,0.1869,0.4572,-0.2325,0.0117,0.5032,0.3059,-0.1973,0.663,0.3277,-0.3353,0.477,0.4757,-0.0013,0.244,0.244,0.346,0.445,0.767,140.0,42.7,-4.557
Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.0,5.0,False,frozen,20,0,190,24,0.4134,0.3331,0.3262,0.4663,-0.0803,0.0315,0.5033,0.4031,-0.1002,0.657,0.512,-0.145,0.477,0.5443,0.0673,0.41,0.41,0.462,0.58,0.732,119.8,43.5,-2.169
Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr5e-7_fp5_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.01,0.001,5.0,False,frozen,20,0,190,24,0.416,0.3433,0.3283,0.4645,-0.0727,0.0242,0.5027,0.4182,-0.0844,0.657,0.4353,-0.2217,0.47,0.5543,0.0843,0.449,0.449,0.423,0.475,0.786,145.7,40.6,-4.653
Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.0,0.0,False,frozen,20,0,190,24,0.4155,0.213,0.2005,0.4558,-0.2025,0.0303,0.5021,0.3235,-0.1787,0.66,0.1447,-0.5153,0.47,0.519,0.049,0.423,0.423,0.654,0.627,0.895,133.9,40.5,-1.961
Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.001,0.0,False,frozen,20,0,190,24,0.4142,0.1185,0.0792,0.4535,-0.2957,0.0585,0.5033,0.2707,-0.2327,0.657,0.081,-0.576,0.467,0.511,0.044,0.256,0.256,0.5,0.712,0.952,140.9,40.7,-2.101
Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp5_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r2.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.0,5.0,False,frozen,20,0,190,24,0.4183,0.1658,0.1922,0.4592,-0.2526,0.0353,0.5037,0.2332,-0.2705,0.66,0.1457,-0.5143,0.473,0.382,-0.091,0.192,0.192,0.538,0.514,0.823,187.4,32.9,-2.289
Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp5_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.01_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.001,5.0,False,frozen,20,0,190,24,0.4186,0.3237,0.2905,0.4679,-0.0949,0.051,0.5028,0.4133,-0.0895,0.66,0.0643,-0.5957,0.467,0.578,0.111,0.372,0.372,0.423,0.526,0.884,118.0,40.9,-12.447
Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.0_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.05,0.0,0.0,False,frozen,20,0,190,24,0.4172,0.4275,0.4257,0.455,0.0103,0.0035,0.503,0.491,-0.012,0.66,0.4443,-0.2157,0.47,0.5963,0.1263,0.564,0.564,0.462,0.262,0.371,118.6,44.2,-4.757
Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.001_lp,Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rmf_kl0.05_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.05,0.001,0.0,False,frozen,20,0,190,24,0.4154,0.426,0.4261,0.4604,0.0106,0.0018,0.5018,0.489,-0.0128,0.657,0.4453,-0.2117,0.477,0.6243,0.1473,0.551,0.551,0.654,0.362,0.413,120.0,42.1,-4.481
