run,model,reward,power_k,ll_min,rm_mode,kl,lr,ec,fp,baseline,d_hm,d_avg,hm_step0,hm_last3,hm_best,hm_late_std,d_cavg,cavg_early,cavg_late,d_cavg_peak,cavg_peak,cavg_peak_step,d_cond_acc,cond_acc_early,cond_acc_late,d_fmt_pass,fmt_pass_early,fmt_pass_late,d_ecorr,fmt_pct,reason_pct,eq_n_late,d_gsm8k,d_mmlu,kl_final,resp_len_min,n_iters,log,avg_last3,avg_step0,ecorr_early,ecorr_late,eq_n_early,eq_window,first_step,gsm8k_last3,gsm8k_step0,hm_last5,kl_max,last_step,mmlu_last3,mmlu_step0,n_tom,resp_len_final,reward_final
s2-ST03-Phase-stability-v2_q25_reward_negppl-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-neg_perplexity-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1,Qwen2.5,neg_perplexity,2.0,8.0,actor,0.05,5e-7,,,False,0.0144,-0.0054,0.4192,0.4336,0.4599,0.0064,-0.1146,0.5521,0.4375,0.0,0.5521,90,-0.1263,0.5638,0.4375,0.0208,0.9792,1.0,-0.1146,-10.3,110.3,96,-0.1227,0.1257,0.257,45.2,8,logs/20260719/s2-ST03-Phase-stability-v2_q25_reward_negppl-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-neg_perplexity-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1.log,0.4978,0.5032,0.5521,0.4375,96,4,0,0.5443,0.667,0.4376,0.438,190,0.5957,0.47,24,104.5,-18.36
s2-ST04-Phase-stability-v2_q25_reward_pk6-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k6-llmin-6-lr5e-7-kl0.05-n16-r1,Qwen2.5,power,6.0,6.0,actor,0.05,5e-7,,,False,0.0551,0.0248,0.4152,0.4703,0.4716,0.0032,-0.0347,0.5764,0.5417,0.059,0.6354,120,-0.039,0.5806,0.5417,0.0312,0.9688,1.0,-0.0208,-87.1,187.1,96,0.0343,0.166,0.062,37.0,8,logs/20260719/s2-ST04-Phase-stability-v2_q25_reward_pk6-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k6-llmin-6-lr5e-7-kl0.05-n16-r1.log,0.5273,0.5025,0.5625,0.5417,96,4,0,0.6943,0.66,0.4685,0.131,190,0.629,0.463,24,102.3,34.792
s2-ST05-Phase-stability-v2_q25_rm_frozen-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1,Qwen2.5,power,4.0,6.0,frozen,0.05,5e-7,,,False,0.049,0.0195,0.4163,0.4653,0.4699,0.0054,-0.0347,0.5035,0.4688,0.0382,0.5417,120,-0.0421,0.5109,0.4688,0.0417,0.9583,1.0,-0.0208,-102.2,202.2,96,-0.0497,0.1233,0.086,37.9,8,logs/20260719/s2-ST05-Phase-stability-v2_q25_rm_frozen-dcfg_smoke_mix-Qwen2.5-3B-Instruct-frozenRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1.log,0.5229,0.5034,0.4896,0.4688,96,4,0,0.6133,0.663,0.4622,0.131,190,0.6063,0.483,24,112.4,34.852
s2-ST06-Phase-stability-v2_q25_kl0.01_lr5e-7-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.01-n16-r1,Qwen2.5,power,4.0,6.0,actor,0.01,5e-7,,,False,0.041,0.0149,0.4179,0.4589,0.4643,0.003,-0.0972,0.5521,0.4549,0.0,0.5521,90,-0.0946,0.5521,0.4574,-0.0208,1.0,0.9792,-0.1042,11.0,89.0,96,-0.0957,0.1337,0.258,43.1,8,logs/20260719/s2-ST06-Phase-stability-v2_q25_kl0.01_lr5e-7-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.01-n16-r1.log,0.5175,0.5027,0.5521,0.4479,96,4,0,0.5613,0.657,0.461,0.268,190,0.5937,0.46,24,104.4,39.469
s2-ST07-Phase-stability-v2_q25_kl0.05_lr1e-6-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr1e-6-kl0.05-n16-r1,Qwen2.5,power,4.0,6.0,actor,0.05,1e-6,,,False,0.0513,0.0176,0.4163,0.4676,0.4744,0.0034,0.0243,0.4549,0.4792,0.066,0.5208,150,0.0335,0.4457,0.4792,0.0417,0.9583,1.0,0.0521,35.7,64.3,96,-0.0263,0.1557,0.101,44.7,8,logs/20260719/s2-ST07-Phase-stability-v2_q25_kl0.05_lr1e-6-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr1e-6-kl0.05-n16-r1.log,0.5205,0.5029,0.4271,0.4792,96,4,0,0.6367,0.663,0.4663,0.349,190,0.6257,0.47,24,102.8,36.673
s2-ST09-Phase-stability-v2_q25_fmt_flatfp5-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1,Qwen2.5,power,4.0,6.0,actor,0.05,5e-7,,,False,0.0462,0.0162,0.4134,0.4595,0.4698,0.0029,-0.0417,0.5,0.4583,0.0,0.5,90,-0.047,0.5054,0.4583,0.0312,0.9688,1.0,-0.0312,-50.5,150.5,96,-0.002,0.1333,0.086,44.9,8,logs/20260719/s2-ST09-Phase-stability-v2_q25_fmt_flatfp5-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1.log,0.5198,0.5036,0.4896,0.4583,96,4,0,0.661,0.663,0.4609,0.173,190,0.6133,0.48,24,103.8,33.613
s2-ST10-Phase-stability-v2_q25_fmt_fp0-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1,Qwen2.5,power,4.0,6.0,actor,0.05,5e-7,,0.0,False,0.0537,0.0207,0.4152,0.469,0.4717,0.0051,0.0694,0.5139,0.5833,0.0694,0.5833,180,0.0565,0.5269,0.5833,0.0312,0.9688,1.0,0.0729,22.6,77.4,96,-0.0147,0.1547,0.103,39.9,8,logs/20260719/s2-ST10-Phase-stability-v2_q25_fmt_fp0-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1.log,0.523,0.5023,0.5104,0.5833,96,4,0,0.6453,0.66,0.4663,0.141,190,0.6177,0.463,24,110.7,37.104
s2-ST11-Phase-stability-v2_q25_ec0.001-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1,Qwen2.5,power,4.0,6.0,actor,0.05,5e-7,0.001,,False,0.0413,0.016,0.4189,0.4603,0.4646,0.0031,0.0937,0.4792,0.5729,0.0937,0.5729,190,0.0887,0.4842,0.5729,0.0104,0.9896,1.0,0.0937,5.4,94.6,96,-0.013,0.1587,0.048,40.7,8,logs/20260719/s2-ST11-Phase-stability-v2_q25_ec0.001-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1.log,0.5195,0.5035,0.4792,0.5729,96,4,0,0.64,0.653,0.4614,0.135,190,0.6257,0.467,24,109.5,25.408
s2-ST12-Phase-stability-v2_q25_batch64-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1,Qwen2.5,power,4.0,6.0,actor,0.05,5e-7,,,False,0.0393,0.0161,0.4209,0.4602,0.4655,0.0164,0.0625,0.5833,0.6458,0.0833,0.6667,90,0.0625,0.5833,0.6458,0.0,1.0,1.0,0.0625,0.0,100.0,48,0.016,0.1557,0.13,42.3,5,logs/20260719/s2-ST12-Phase-stability-v2_q25_batch64-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1.log,0.5199,0.5038,0.5833,0.6458,48,2,0,0.673,0.657,0.4563,0.167,95,0.6187,0.463,24,110.5,35.197
ST01-Phase-stability-v2_q25_anchor_pk4_stdgate-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1,Qwen2.5,power,4.0,6.0,actor,0.05,5e-7,,,False,0.0429,0.0211,0.4217,0.4646,0.4693,0.0033,0.1493,0.4514,0.6007,0.1493,0.6007,190,0.1474,0.4526,0.6,0.0,0.9896,0.9896,0.1458,0.0,100.0,96,-0.0323,0.1377,0.107,37.6,8,logs/20260719/ST01-Phase-stability-v2_q25_anchor_pk4_stdgate-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-power-k4-llmin-6-lr5e-7-kl0.05-n16-r1.log,0.5245,0.5034,0.4479,0.5938,96,4,0,0.6247,0.657,0.4639,0.168,190,0.6147,0.477,24,109.8,39.259
