exp_id	model_family	model_path	task	reward_type	power_k	power_ll_min	rm_mode	kl	lr	max_prompt	max_resp	data_name	cot_var	run_name_base
Phase-stability-Pm1a_logprob	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	log_prob			frozen	0.01	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1a_logprob-dcfg_smoke_mix
Phase-stability-Pm1a_negppl	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	neg_perplexity			frozen	0.01	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1a_negppl-dcfg_smoke_mix
Phase-stability-Pm1a_power	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	power	2		frozen	0.01	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1a_power-dcfg_smoke_mix
Phase-stability-Pm1b_klLo_clampLo_base_on	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klLo	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klLo_clampLo_base_on-dcfg_smoke_mix
Phase-stability-Pm1b_klLo_clampLo_base_off	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klLo	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klLo_clampLo_base_off-dcfg_smoke_mix
Phase-stability-Pm1b_klLo_clampHi_base_on	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klLo	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klLo_clampHi_base_on-dcfg_smoke_mix
Phase-stability-Pm1b_klLo_clampHi_base_off	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klLo	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klLo_clampHi_base_off-dcfg_smoke_mix
Phase-stability-Pm1b_klHi_clampLo_base_on	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klHi	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klHi_clampLo_base_on-dcfg_smoke_mix
Phase-stability-Pm1b_klHi_clampLo_base_off	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klHi	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klHi_clampLo_base_off-dcfg_smoke_mix
Phase-stability-Pm1b_klHi_clampHi_base_on	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klHi	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klHi_clampHi_base_on-dcfg_smoke_mix
Phase-stability-Pm1b_klHi_clampHi_base_off	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	klHi	1e-6	2048	512	dcfg_smoke_mix	COT_FREEFORM	Phase-stability-Pm1b_klHi_clampHi_base_off-dcfg_smoke_mix
Phase-stability-Pm1c_gemma_top1	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	1e-6	2048	512	dcfg_smoke_mix_gemma	COT_FREEFORM	Phase-stability-Pm1c_gemma_top1-dcfg_smoke_mix_gemma
Phase-stability-Pm1c_gemma_top2	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	1e-6	2048	512	dcfg_smoke_mix_gemma	COT_FREEFORM	Phase-stability-Pm1c_gemma_top2-dcfg_smoke_mix_gemma
Phase-stability-Pm1c_gemma_worst1	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	1e-6	2048	512	dcfg_smoke_mix_gemma	COT_FREEFORM	Phase-stability-Pm1c_gemma_worst1-dcfg_smoke_mix_gemma
Phase-stability-Pm1c_gemma_worst2	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	1e-6	2048	512	dcfg_smoke_mix_gemma	COT_FREEFORM	Phase-stability-Pm1c_gemma_worst2-dcfg_smoke_mix_gemma
data-recipe-P0_single_empathetic	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_empathetic	COT_FREEFORM	data-recipe-P0_single_empathetic-dcfg_empathetic
data-recipe-P0_single_casino	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_casino	COT_FREEFORM	data-recipe-P0_single_casino-dcfg_casino
data-recipe-P0_single_craigslist	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_craigslist	COT_FREEFORM	data-recipe-P0_single_craigslist-dcfg_craigslist
data-recipe-P0_single_cga	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_cga	COT_FREEFORM	data-recipe-P0_single_cga-dcfg_cga
data-recipe-P0_single_diplomacy	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_diplomacy	COT_FREEFORM	data-recipe-P0_single_diplomacy-dcfg_diplomacy
data-recipe-P0_single_p4g	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_p4g	COT_FREEFORM	data-recipe-P0_single_p4g-dcfg_p4g
data-recipe-P0_single_dailydialog	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_dailydialog	COT_FREEFORM	data-recipe-P0_single_dailydialog-dcfg_dailydialog
data-recipe-P0_single_thoughttrace	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_thoughttrace	COT_FREEFORM	data-recipe-P0_single_thoughttrace-dcfg_thoughttrace
data-recipe-P0_mix_best3	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_mix_best3	COT_FREEFORM	data-recipe-P0_mix_best3-dcfg_mix_best3
data-recipe-P0_mix_all	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_mix_all	COT_FREEFORM	data-recipe-P0_mix_all-dcfg_mix_all
data-recipe-P0_filter_surprise	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_mix_best_surprise	COT_FREEFORM	data-recipe-P0_filter_surprise-dcfg_mix_best_surprise
data-recipe-P0_filter_off	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_mix_best	COT_FREEFORM	data-recipe-P0_filter_off-dcfg_mix_best
data-recipe-P0_filter_randlen	qwen2.5	Qwen/Qwen2.5-3B-Instruct						=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_mix_best_randlen	COT_FREEFORM	data-recipe-P0_filter_randlen-dcfg_mix_best_randlen
data-recipe-P0_confirm_gemma_top1	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma	COT_FREEFORM	data-recipe-P0_confirm_gemma_top1-dcfg_default_gemma
data-recipe-P0_confirm_gemma_top2	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma2	COT_FREEFORM	data-recipe-P0_confirm_gemma_top2-dcfg_default_gemma2
reward-shaping-Q2_frozen_powerk_1.5	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	power	1.5		frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	reward-shaping-Q2_frozen_powerk_1.5-dcfg_default(=P0)
reward-shaping-Q2_frozen_powerk_2	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	power	2		frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	reward-shaping-Q2_frozen_powerk_2-dcfg_default(=P0)
reward-shaping-Q2_frozen_powerk_3	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	power	3		frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	reward-shaping-Q2_frozen_powerk_3-dcfg_default(=P0)
reward-shaping-Q2_frozen_powerk_4	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	power	4		frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	reward-shaping-Q2_frozen_powerk_4-dcfg_default(=P0)
reward-shaping-Q2_frozen_llmin_p25	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	power			frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	reward-shaping-Q2_frozen_llmin_p25-dcfg_default(=P0)
reward-shaping-Q2_frozen_llmin_p50	qwen2.5	Qwen/Qwen2.5-3B-Instruct	behavior	power			frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	reward-shaping-Q2_frozen_llmin_p50-dcfg_default(=P0)
